Kode,Uraian,Nilai_Jumlah,Nilai_Rupiah,Mutasi_Masuk,Mutasi_Keluar,Mutasi_Jumlah,Jumlah,Rupiah,Tahun,Rata2_Mutasi_Keluar,Prioritas,Flow_Category
1777,Paket IoT - Arduino - LoRa -915 Mhz update,0,0,13.0,0,13,13,11115000,2024,0.0,0,1
1778,Ragum pcb Kecil biru,0,0,4.0,0,4,4,156000,2024,0.0,0,1
1779,Timah Solder Kecil 0.3 mm,0,0,22.0,0,22,22,2618000,2024,0.0,0,1
1780,(GREEN) Blank Dice D6 Multicolor 16mm,0,0,30.0,0,30,30,133200,2024,0.0,0,1
1781,"GREEN Pearlized RPG Dice Set (D4, D6, D8, D10, D10%, D12, D20)",0,0,4.0,0,4,4,243092,2024,0.0,0,1
1782,"GREEN Transparent RPG Dice Set (D4, D6, D8, D10, D10%, D12, D20)",0,0,30.0,0,30,30,1823190,2024,0.0,0,1
1783,BARDI Smart BREAKER ON OFF Switch Wifi Wireless IoT Home Automation,0,0,2.0,0,2,2,197580,2024,0.0,0,1
1784,BARDI PIR MOTION SENSOR WIFI - DETEKSI GERAK SENSOR SMART HOME,0,0,2.0,0,2,2,466200,2024,0.0,0,1
1785,Bardi Smart Home WIFI Window & Door Sensor - no hub required,0,0,2.0,0,2,2,295260,2024,0.0,0,1
1786,Brushless ESC Hobbywing Skywalker 2-4S 50A,0,0,10.0,0,10,10,3063600,2024,0.0,0,1
1787,Digital sound level meter data logger GM-1356 Original,0,0,2.0,0,2,2,1376400,2024,0.0,0,1
1788,IC AMC1100DUB diganti AMC 1200-Q1,0,0,10.0,0,10,10,1265400,2024,0.0,0,1
1789,Meteran 5m,0,0,9.0,0,9,9,274725,2024,0.0,0,1
1790,Soket Timer 8 kaki,0,0,16.0,0,16,16,586080,2024,0.0,0,1
1791,Starter Kit IoT Smart Home - Proyek Internet of Things Smart Home,0,0,1.0,0,1,1,976800,2024,0.0,0,1
1792,TM1638 Trainer Module I/O Input Output 8 bit Digit 7 Segment LED Key,0,0,32.0,0,32,32,1406592,2024,0.0,0,1
1793,"RED Transparent RPG Dice Set (D4, D6, D8, D10, D10%, D12, D20)",0,0,34.0,0,34,34,2066282,2024,0.0,0,1
1794,Brushless Motor 900 watt Thrust 2140 g,0,0,10.0,0,10,10,5860800,2024,0.0,0,1
1795,Diode - Kuprok 1N 5625,0,0,50.0,0,50,50,999000,2024,0.0,0,1
1796,Elemen Solder 30Watt,0,0,2.0,0,2,2,47730,2024,0.0,0,1
1797,"Kikir Kecil 1""",0,0,5.0,0,5,5,53835,2024,0.0,0,1
1798,"Motor 0,6 volt",0,0,6.0,0,6,6,46620,2024,0.0,0,1
